STID,MP05,MP25,MP60,VWC05,VWC25,VWC60,Se05,Se25,Se60,K05,K25,K60
#,kPa,kPa,kPa,cm^3/cm^3,cm^3/cm^3,cm^3/cm^3,-,-,-,cm/d,cm/d,cm/d
RETR,-30.25187662,,,0.242664681,,,0.504729207,,,0.017606118,,
RING,-116.9977042,-84.59915996,,0.150911608,0.282465939,,0.363643576,0.607660745,,0.019186909,0.0171796,
SALL,-46.26047184,-39.78266513,-34.61498187,0.373014007,0.308666656,0.371094977,0.917418822,0.837892573,0.903220522,0.470346286,0.305616107,0.214182847
SEIL,-106.662743,-134.8042895,-195.6977363,0.228393083,0.229759199,0.144743576,0.506264615,0.519535256,0.280521523,0.033668401,0.02163957,0.007676854
SHAW,-139.921882,-107.5966063,-119.6661561,0.253385111,0.225851772,0.301788004,0.643163922,0.494225195,0.720208602,0.11401022,0.032714046,0.007989375
SKIA,-62.21800199,-47.06300957,-60.68174949,0.254552245,0.185123181,0.331140737,0.562177196,0.475859311,0.802159584,0.041959111,0.039010274,0.040741717
SLAP,-197.5338028,-66.6781801,-71.13872062,0.069409765,0.174415404,0.1424637,0.100350688,0.414333553,0.364878998,0.008646871,0.00993032,0.007444409
SPEN,-89.48968988,-70.24880382,-77.22944594,0.211555425,0.302294402,0.26978851,0.481772768,0.800934611,0.71776217,0.032211398,0.034674246,0.034176803
STIG,-56.72361283,-67.01900594,-75.61685541,0.284728876,0.32016803,0.235845769,0.854237505,0.860336542,0.664812811,0.257418227,0.365960538,0.029932657
STIL,-120.1529173,-72.31437257,-67.08575799,0.29480761,0.294138028,0.2918363,0.532134752,0.720295265,0.728985715,0.013638297,0.051200867,0.066226983
STUA,-77.74174625,-60.11166247,-86.86921332,0.170392581,0.134302143,0.22724105,0.452764168,0.340124316,0.688565089,0.023270185,0.036503055,0.065913819
SULP,-128.8683258,,,0.234127402,,,0.34466266,,,0.057582706,,
TAHL,-65.97680597,,,0.246417632,,,0.53011103,,,0.038857419,,
TALA,-26.92138703,-15.05760131,-25.73039311,0.384040525,0.34748042,0.38322155,0.880108067,0.784129813,0.725360074,0.348262014,0.098686304,0.029729197
TALI,-80.14994547,-88.87886822,,0.262178375,0.361644889,,0.633365412,0.714115206,,0.079879857,0.076049604,
TIPT,-165.8776562,-224.9766191,-295.5706396,0.187403216,0.160877013,0.161535048,0.46250957,0.402784167,0.349238643,0.024089777,0.012306296,0.009078806
TISH,-132.7887329,-108.3914503,,0.243006731,0.305018959,,0.619355683,0.716429704,,0.114505385,0.083701115,
TULN,-45.87468658,-33.69483565,-45.23179146,0.409627337,0.328562201,0.376707515,0.838115456,0.866966147,0.858308052,0.26919606,0.173672214,0.040277801
VANO,-99.02047929,-72.51435695,-103.2905042,0.226434747,0.338404311,0.38804183,0.590847984,0.805275763,0.785640473,0.038311884,0.014296773,0.017779879
VINI,-60.04239117,-69.24259623,-92.22517112,0.319009924,0.266478136,0.343544981,0.782382129,0.631883711,0.638276266,0.165514091,0.076362757,0.020617216
WAL2,-173.517232,-226.8615623,-334.1273761,0.162120662,0.160236401,0.097040673,0.387165221,0.340936099,0.195317335,0.028119596,0.03283295,0.024208423
WALT,-168.9569742,-214.5350305,-286.4396158,0.265438237,0.286766112,0.254841318,0.502570513,0.591926245,0.596488842,0.013201479,0.009186124,0.010798002
WASH,-80.05490175,-122.5566067,-119.7367465,0.324609605,0.272423984,0.199273259,0.79530857,0.69944649,0.655305245,0.195855444,0.041423437,0.01307534
WATO,-127.7770195,-128.5997916,-181.6543431,0.222428209,0.245366141,0.21842065,0.552180268,0.580771422,0.47548757,0.042201272,0.041522678,0.029013703
WAUR,-116.7347641,-131.1722759,-103.7280181,0.19387465,0.248648277,0.189763901,0.462256648,0.619719502,0.489823588,0.035721274,0.042794861,0.036235924
WEAT,-141.5988688,-148.0304652,,0.242297754,0.17301311,,0.503260688,0.333364773,,0.030953454,0.010121454,
WEBR,-54.00105628,-56.84849176,-86.89379768,0.296660062,0.243075357,0.222763078,0.752637861,0.581614409,0.530233365,0.205314048,0.038000253,0.028586324
WEST,-95.66557946,-95.49852041,-84.34770977,0.262905162,0.24902662,,0.602262906,0.579307704,,0.114487127,0.06628387,
WILB,-104.4911715,-93.21247638,-157.5667826,0.269372963,0.275586034,0.367953722,0.674488332,0.731402622,0.653827499,0.177155871,0.138013176,0.02564837
WIST,-98.50863623,-90.71214308,-153.88541,0.300105107,0.272161614,0.389141898,0.716246687,0.623687291,0.709334638,0.155780596,0.050048136,0.019774905
WOOD,-151.1188495,-177.2664715,-243.8247457,0.215722952,0.197276013,0.131334433,0.469521492,0.413703929,0.235710906,0.022373859,0.013614973,0.006791002
WYNO,-70.54540483,-110.0340871,,0.338554039,0.300670998,,0.626802777,0.625806534,,0.049199849,0.0219849,
